location,location2,location3
Madagascar,Republic of Madagascar,MADAGASCAR
Malawi,Republic of Malawi,MALAWI
Maldives,Republic of Maldives,MALDIVES
Mali,Republic of Mali,MALI
Malta,Republic of Malta,MALTA
Mauritius,Republic of Mauritius,MAURITIUS
Republic of Moldova,Republic of Moldova,MOLDOVA
Mozambique,Republic of Mozambique,MOZAMBIQUE
Namibia,Republic of Namibia,NAMIBIA
Nauru,Republic of Nauru,NAURU
Nicaragua,Republic of Nicaragua,NICARAGUA
Niger,Republic of Niger,NIGER
Palau,Republic of Palau,PALAU
Panama,Republic of Panama,PANAMA
Paraguay,Republic of Paraguay,PARAGUAY
Peru,Republic of Peru,PERU
Philippines,Republic of Philippines,PHILIPPINES
Poland,Republic of Poland,POLAND
Rwanda,Republic of Rwanda,RWANDA
San Marino,Republic of San Marino,SAN MARINO
Senegal,Republic of Senegal,SENEGAL
Serbia,Republic of Serbia,SERBIA
Seychelles,Republic of Seychelles,SEYCHELLES
Sierra Leone,Republic of Sierra Leone,SIERRA LEONE
Singapore,Republic of Singapore,SINGAPORE
Slovenia,Republic of Slovenia,SLOVENIA
South Africa,Republic of South Africa,SOUTH AFRICA
Suriname,Republic of Suriname,SURINAME
Tajikistan,Republic of Tajikistan,TAJIKISTAN
Gambia,Republic of the Gambia,GAMBIA
Marshall Islands,Republic of the Marshall Islands,MARSHALL ISLANDS
Sudan,Republic of the Sudan,SUDAN
Togo,Republic of Togo,TOGO
Trinidad and Tobago,Republic of Trinidad and Tobago,TRINIDAD AND TOBAGO
Tunisia,Republic of Tunisia,TUNISIA
Turkey,Republic of Turkey,TURKEY
Uganda,Republic of Uganda,UGANDA
Uzbekistan,Republic of Uzbekistan,UZBEKISTAN
Vanuatu,Republic of Vanuatu,VANUATU
Venezuela (Bolivarian Republic of),Republic of Venezuela,VENEZUELA
Yemen,Republic of Yemen,YEMEN
Zambia,Republic of Zambia,ZAMBIA
Zimbabwe,Republic of Zimbabwe,ZIMBABWE
Romania,Romania,ROMANIA
Russian Federation,Russian Federation,RUSSIAN FEDERATION
Saint Lucia,Saint Lucia,SAINT LUCIA
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,SAINT VINCENT AND THE GRENADINES
Slovakia,Slovakia Republic,SLOVAKIA
Viet Nam,Socialist Republic of Viet Nam,VIET NAM
Solomon Islands,Solomon Islands,SOLOMON ISLANDS
Somalia,Somalia Republic,SOMALIA
Bahrain,State of Bahrain,BAHRAIN
Eritrea,State of Eritrea,ERITREA
Israel,State of Israel,ISRAEL
Kuwait,State of Kuwait,KUWAIT
Qatar,State of Qatar,QATAR
Oman,Sultanate of Oman,OMAN
Switzerland,Switzerland,SWITZERLAND
Syrian Arab Republic,Syrian Arab Republic,SYRIAN ARAB REPUBLIC
Tokelau,Tokelau,TOKELAU
Turkmenistan,Turkmenistan,TURKMENISTAN
Tuvalu,Tuvalu,TUVALU
Ukraine,Ukraine,UKRAINE
Myanmar,Union of Myanmar,MYANMAR
United Arab Emirates,United Arab Emirates,UNITED ARAB EMIRATES
United Kingdom,United Kingdom of Great Britain and Nort,UNITED KINGDOM
United Republic of Tanzania,United Republic of Tanzania,TANZANIA
United States of America,United States Of America,UNITED STATES
Mexico,United States of Mexico,MEXICO
India,Republic of Indonesia,INDIA
Lebanon,Lebanese Republic,LEBANON
Libya,Great Socialist People,LIBYA
North Macedonia,The former Yugoslav Republic of Macedoni,"MACEDONIA,THE FORMER YUGOSLAV REPUBLIC OF"
